,,,,,,,,
Item,Valor Unitário,nº períodos,Qtde,Total,,,,
AR Inmo Air3,7500.00,1,1,7500.00,,,,
Bicicleta elétrica Fisioterapia,3000.00,1,1,3000.00,,,,
Bolsa de Coordenação - A,6900.00,18,1,124200.00,,,,
Bolsa de Coordenação - D,6900.00,18,1,124200.00,,,,
Bolsa de Coordenação - H,6900.00,18,1,124200.00,,,,
Bolsa de Coordenação - R,6900.00,18,1,124200.00,,,,
Bolsa para Doutorando - A,4000.00,18,1,72000.00,,,,
Computadores," $13,590.50 ",1,0, R$ -   ,,,,
Bolsa para Doutorando - D,4000.00,18,1,72000.00,,,,
Bolsas de Mestrado," $3,000.00 ",18,0, R$ -   ,,,,
Bolsa para Doutorando - R,4000.00,18,1,72000.00,,,,
Bolsas de Graduação,1500.00,18,2,54000.00,,,,
Bolsas para Mestrando," $2,100.00 ",18,0, R$ -   ,,,,
Material para prototipagem eletromecânico, $-   ,1,0, R$ -   ,,,,
Bolsas de Mestrado - H,3000.00,18,1,54000.00,,,,
Software de Gerenciamento de Projeto (Trello Premium), $330.00 ,2,0, R$ -   ,,,,
Software de sincronização de arquivos (Dropbox Plus), $55.00 ,18,0, R$ -   ,,,,
Software de versionamento (GitHub Pro Team), $22.00 ,18,0, R$ -   ,,,,
Taxa Publicação Congresso ou Periódico," $15,000.00 ",1,0, R$ -   ,,,,
Todoist Business , $396.00 ,2,0, R$ -   ,,,,
Bolsas de Pós-Doutorado,7200.00,18,1,129600.00,,,,
Bolsas para Graduando,1100.00,18,2,39600.00,,,,
Computador para Coordenador - H,18000.00,1,1,18000.00,,,,
Computadores para Alunos,15000.00,1,4,60000.00,,,,
Diária Internacional - A," $2,035.00 ",1,0, R$ -   ,,,,
Diária Internacional - D," $2,035.00 ",1,0, R$ -   ,,,,
Diária Internacional - R," $2,035.00 ",1,0, R$ -   ,,,,
Diária Nacional -  - Vinda Anselmo e aluno,350.00,1,14,4900.00,,,,
Diária Nacional -  Workshop,350.00,1,4,1400.00,,,,
Diária Nacional - A, $350.00 ,1,0, R$ -   ,,,,
Diária Nacional - D, $350.00 ,1,0, R$ -   ,,,,
Workastation AI," $100,000.00 ",1,0, R$ -   ,,,,
Diária Nacional - R, $350.00 ,1,0, R$ -   ,,,,
Eletroestimulador - FES Stim2Go,50000.00,1,1,50000.00,,,,
Exoesqueleto,1000000.00,1,1,1000000.00,,,,
FINATEC: despesas operacionais e administrativas para gestão do projeto,436800.00,1,1,436800.00,,,,
IMUs YEI PrioVR,17900.00,1,1,17900.00,,,,
Manutenção preventiva/corretiva do parque de equipamentos,100000.00,1,1,100000.00,,,,
Material para prototipagem eletromecânico,0.00,1,1,0.00,,,,
Material para prototipagem eletromecânico,0.00,1,1,0.00,,,,
Passagem internacional ida e votla - A," $10,000.00 ",1,0, R$ -   ,,,,
Passagem internacional ida e votla - D," $10,000.00 ",1,0, R$ -   ,,,,
Computadores," $13,590.50 ",1,0, R$ -   ,,,,
Passagem internacional ida e votla - R," $10,000.00 ",1,0, R$ -   ,,,,
Bolsa para Doutorando - H," $4,000.00 ",18,0, R$ -   ,,,,
Passagem nacional ida e volta - A," $4,000.00 ",1,0, R$ -   ,,,,
Diária Internacional - H," $2,035.00 ",1,0, R$ -   ,,,,
Diária Nacional - H, $350.00 ,1,0, R$ -   ,,,,
Passagem internacional ida e votla - H," $10,000.00 ",1,0, R$ -   ,,,,
Passagem nacional ida e volta - H," $4,000.00 ",1,0, R$ -   ,,,,
Passagem nacional ida e volta - D," $4,000.00 ",1,0, R$ -   ,,,,
Passagem nacional ida e volta - R," $4,000.00 ",1,0, R$ -   ,,,,
Passagem nacional ida e volta - Vinda Anselmo e aluno,4000.00,1,2,8000.00,,,,
Passagem nacional ida e volta - Workshop,4000.00,1,2,8000.00,,,,
Prototipagem Smart Walker,0.00,1,1,0.00,,,,
Prototipagem Smart Walker - consumo,100000.00,1,1,100000.00,,,,
Prototipagem Smart Walker - permanente,100000.00,1,1,100000.00,,,,
VR MetaQuest ,6500.00,1,1,6500.00,,,,
Computadores," $13,590.50 ",1,0, R$ -   ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
